tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
10274,2016-04-24 22:36:40 UTC,2016-04-25 01:27:54 UTC,263,Elizabeth St & Hester St,40.71729,-73.996375,3240,NYCBS Depot BAL - DYR,0,0,16458,Customer,1997,unknown
111769,2016-02-08 19:27:15 UTC,2016-02-10 02:30:04 UTC,249,Harrison St & Hudson St,40.71870987,-74.0090009,3240,NYCBS Depot BAL - DYR,0,0,16860,Subscriber,1966,male
547,2016-05-02 17:52:21 UTC,2016-05-02 18:01:29 UTC,514,12 Ave & W 40 St,40.76087502,-74.00277668,3240,NYCBS Depot BAL - DYR,0,0,22094,Subscriber,1975,male
152978,2016-02-22 19:22:07 UTC,2016-02-24 13:51:46 UTC,250,Lafayette St & Jersey St,40.72456089,-73.99565293,3019,NYCBS Depot - DEL,40.716633,-73.981933,17943,Subscriber,1969,male
100569,2015-12-17 10:24:19 UTC,2015-12-18 14:20:29 UTC,417,Barclay St & Church St,40.71291224,-74.01020234,3019,NYCBS Depot - DEL,40.716633,-73.981933,22674,Subscriber,1989,male
226939,2015-10-20 07:24:44 UTC,2015-10-22 22:27:03 UTC,79,Franklin St & W Broadway,40.71911552,-74.00666661,3019,NYCBS Depot - DEL,40.716633,-73.981933,19427,Customer,1997,unknown
156,2015-10-07 10:15:43 UTC,2015-10-07 10:18:19 UTC,311,Norfolk St & Broome St,40.7172274,-73.98802084,3019,NYCBS Depot - DEL,40.716633,-73.981933,17628,Subscriber,1985,female
442403,2015-11-06 19:34:29 UTC,2015-11-11 22:27:52 UTC,445,E 10 St & Avenue A,40.72740794,-73.98142006,3019,NYCBS Depot - DEL,40.716633,-73.981933,16592,Customer,1996,unknown
1770,2015-11-22 15:24:19 UTC,2015-11-22 15:53:50 UTC,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,3019,NYCBS Depot - DEL,40.716633,-73.981933,23076,Subscriber,1993,female
722,2016-06-20 06:17:05 UTC,2016-06-20 06:29:08 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,19242,Subscriber,1958,male
621,2016-05-02 08:43:32 UTC,2016-05-02 08:53:53 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,19196,Subscriber,1975,male
504,2016-03-07 06:39:00 UTC,2016-03-07 06:47:25 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,17121,Subscriber,1984,male
556,2016-03-07 06:59:41 UTC,2016-03-07 07:08:57 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,15323,Subscriber,1968,male
567,2015-12-14 07:11:03 UTC,2015-12-14 07:20:31 UTC,3236,PABT Valet,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,17547,Subscriber,1970,male
545,2016-04-13 08:12:48 UTC,2016-04-13 08:21:54 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,15932,Subscriber,1985,male
463,2016-08-10 06:56:10 UTC,2016-08-10 07:03:53 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,15106,Subscriber,1984,male
578,2016-06-29 06:13:53 UTC,2016-06-29 06:23:32 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,22970,Subscriber,1960,male
585,2016-05-17 07:00:11 UTC,2016-05-17 07:09:56 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,21632,Subscriber,1968,male
666,2016-09-28 08:10:01 UTC,2016-09-28 08:21:07 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,15212,Subscriber,1980,female
618,2016-04-22 08:27:03 UTC,2016-04-22 08:37:21 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,24186,Subscriber,1985,male
583,2016-09-16 07:56:15 UTC,2016-09-16 08:05:58 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,15210,Subscriber,1974,male
585,2015-12-14 09:43:10 UTC,2015-12-14 09:52:56 UTC,3236,PABT Valet,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,19500,Subscriber,1984,male
663,2016-06-29 07:31:17 UTC,2016-06-29 07:42:20 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,25645,Subscriber,1952,male
541,2016-04-22 07:16:50 UTC,2016-04-22 07:25:52 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,17842,Subscriber,1970,male
474,2016-05-02 07:18:41 UTC,2016-05-02 07:26:36 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,21305,Subscriber,1966,male
549,2016-07-07 06:07:04 UTC,2016-07-07 06:16:13 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,19245,Subscriber,1971,male
638,2016-06-28 08:19:07 UTC,2016-06-28 08:29:45 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,18411,Subscriber,1986,male
593,2016-07-07 07:09:21 UTC,2016-07-07 07:19:15 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,21322,Subscriber,1966,male
438,2016-05-20 07:21:02 UTC,2016-05-20 07:28:20 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,24116,Subscriber,1971,male
515,2016-05-10 07:06:33 UTC,2016-05-10 07:15:09 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,20220,Subscriber,1966,male
490,2016-05-12 07:03:29 UTC,2016-05-12 07:11:40 UTC,3236,W 42 St & Dyer Ave,40.758984813996342,-73.993799686431885,520,W 52 St & 5 Ave,40.75992262,-73.97648516,16275,Subscriber,1968,male
1876,2016-09-03 14:20:18 UTC,2016-09-03 14:51:35 UTC,3284,E 88 St & Park Ave,40.781410700190015,-73.95595908164978,520,W 52 St & 5 Ave,40.75992262,-73.97648516,26679,Customer,1998,unknown
556,2016-05-06 09:39:20 UTC,2016-05-06 09:48:37 UTC,3131,E 68 St & 3 Ave,40.76712840349542,-73.962246179580688,520,W 52 St & 5 Ave,40.75992262,-73.97648516,21407,Subscriber,1973,male
595,2016-07-27 08:50:38 UTC,2016-07-27 09:00:33 UTC,3131,E 68 St & 3 Ave,40.76712840349542,-73.962246179580688,520,W 52 St & 5 Ave,40.75992262,-73.97648516,16148,Subscriber,1986,male
1207,2016-09-01 10:07:47 UTC,2016-09-01 10:27:55 UTC,3166,Riverside Dr & W 72 St,40.780577990103339,-73.985624313354492,520,W 52 St & 5 Ave,40.75992262,-73.97648516,20989,Subscriber,1955,male
741,2016-08-17 09:42:47 UTC,2016-08-17 09:55:08 UTC,3153,E 71 St & 2 Ave,40.768175467422452,-73.959102630615234,520,W 52 St & 5 Ave,40.75992262,-73.97648516,18866,Subscriber,1969,male
670,2016-09-20 07:33:05 UTC,2016-09-20 07:44:15 UTC,3153,E 71 St & 2 Ave,40.768175467422452,-73.959102630615234,520,W 52 St & 5 Ave,40.75992262,-73.97648516,26778,Subscriber,1976,male
327,2016-06-30 07:58:24 UTC,2016-06-30 08:03:51 UTC,3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,520,W 52 St & 5 Ave,40.75992262,-73.97648516,16873,Subscriber,1965,male
384,2016-08-04 07:45:21 UTC,2016-08-04 07:51:46 UTC,3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,520,W 52 St & 5 Ave,40.75992262,-73.97648516,21331,Subscriber,1953,female
281,2016-08-22 12:25:40 UTC,2016-08-22 12:30:22 UTC,3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,520,W 52 St & 5 Ave,40.75992262,-73.97648516,17144,Subscriber,1990,male
291,2016-02-23 11:32:45 UTC,2016-02-23 11:37:36 UTC,3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,520,W 52 St & 5 Ave,40.75992262,-73.97648516,24729,Subscriber,1981,female
308,2016-07-31 14:06:05 UTC,2016-07-31 14:11:13 UTC,3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,520,W 52 St & 5 Ave,40.75992262,-73.97648516,24246,Subscriber,1948,male
211,2016-03-31 14:53:41 UTC,2016-03-31 14:57:12 UTC,3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,520,W 52 St & 5 Ave,40.75992262,-73.97648516,24753,Subscriber,1990,male
255,2016-03-03 16:09:27 UTC,2016-03-03 16:13:42 UTC,3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,520,W 52 St & 5 Ave,40.75992262,-73.97648516,23121,Subscriber,1981,female
1149,2016-05-15 17:23:31 UTC,2016-05-15 17:42:40 UTC,3139,E 72 St & Park Ave,40.771182875406581,-73.964094221591949,520,W 52 St & 5 Ave,40.75992262,-73.97648516,23023,Customer,1909,unknown
458,2015-11-01 09:31:29 UTC,2015-11-01 09:39:08 UTC,3139,E 72 St & Park Ave,40.771182875406581,-73.964094221591949,520,W 52 St & 5 Ave,40.75992262,-73.97648516,18432,Subscriber,1962,male
517,2016-05-13 08:32:45 UTC,2016-05-13 08:41:23 UTC,3139,E 72 St & Park Ave,40.771182875406581,-73.964094221591949,520,W 52 St & 5 Ave,40.75992262,-73.97648516,18320,Subscriber,1984,male
837,2016-07-25 08:09:29 UTC,2016-07-25 08:23:27 UTC,3139,E 72 St & Park Ave,40.771182875406581,-73.964094221591949,520,W 52 St & 5 Ave,40.75992262,-73.97648516,15843,Subscriber,1967,male
704,2016-06-06 06:09:22 UTC,2016-06-06 06:21:06 UTC,3238,E 80 St & 2 Ave,40.773913902381182,-73.9543953537941,520,W 52 St & 5 Ave,40.75992262,-73.97648516,15152,Subscriber,1983,male
771,2016-06-24 09:33:36 UTC,2016-06-24 09:46:27 UTC,3238,E 80 St & 2 Ave,40.773913902381182,-73.9543953537941,520,W 52 St & 5 Ave,40.75992262,-73.97648516,17855,Subscriber,1978,male
1442,2016-05-25 09:45:03 UTC,2016-05-25 10:09:06 UTC,3238,E 80 St & 2 Ave,40.773913902381182,-73.9543953537941,520,W 52 St & 5 Ave,40.75992262,-73.97648516,20238,Subscriber,1965,female
294,2016-08-23 07:37:54 UTC,2016-08-23 07:42:49 UTC,3233,E 48 St & 5 Ave,40.757245679117261,-73.978059142827988,520,W 52 St & 5 Ave,40.75992262,-73.97648516,24054,Subscriber,1985,male
623,2015-05-22 07:16:06 UTC,2015-05-22 07:26:29 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,14553,Subscriber,1976,male
763,2015-09-28 07:38:33 UTC,2015-09-28 07:51:16 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,17860,Subscriber,1972,male
736,2015-05-05 07:20:21 UTC,2015-05-05 07:32:38 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,21414,Subscriber,1972,male
866,2016-04-14 08:26:20 UTC,2016-04-14 08:40:46 UTC,521,8 Ave & W 31 St N,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,18548,Subscriber,1988,male
646,2015-11-16 06:05:40 UTC,2015-11-16 06:16:27 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,14877,Subscriber,1963,male
740,2015-10-21 09:23:01 UTC,2015-10-21 09:35:22 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,21099,Subscriber,1984,female
648,2015-08-31 06:09:58 UTC,2015-08-31 06:20:47 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,19892,Subscriber,1961,male
932,2015-12-23 08:28:34 UTC,2015-12-23 08:44:07 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,18129,Subscriber,1988,male
542,2015-08-26 06:10:25 UTC,2015-08-26 06:19:28 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,22802,Subscriber,1961,male
650,2015-09-08 06:25:07 UTC,2015-09-08 06:35:57 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,22815,Subscriber,1982,male
694,2015-09-14 07:10:11 UTC,2015-09-14 07:21:45 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,22729,Subscriber,1975,male
917,2016-03-02 08:31:06 UTC,2016-03-02 08:46:23 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,18109,Subscriber,1988,male
858,2015-04-07 09:13:47 UTC,2015-04-07 09:28:05 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,19737,Subscriber,1984,female
764,2015-04-08 08:31:56 UTC,2015-04-08 08:44:40 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,17425,Subscriber,1974,male
701,2015-08-10 09:10:37 UTC,2015-08-10 09:22:18 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,22595,Subscriber,1967,male
701,2015-09-22 07:43:57 UTC,2015-09-22 07:55:38 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,18667,Subscriber,1988,male
927,2015-09-29 17:11:47 UTC,2015-09-29 17:27:15 UTC,521,8 Ave & W 31 St,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,23835,Subscriber,1990,male
564,2016-05-16 06:51:20 UTC,2016-05-16 07:00:44 UTC,521,8 Ave & W 31 St N,40.750967348715982,-73.994442075490952,520,W 52 St & 5 Ave,40.75992262,-73.97648516,23511,Subscriber,1968,male
1133,2016-06-21 06:29:05 UTC,2016-06-21 06:47:59 UTC,2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,520,W 52 St & 5 Ave,40.75992262,-73.97648516,18320,Subscriber,1989,female
1147,2016-06-27 07:10:59 UTC,2016-06-27 07:30:07 UTC,2003,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,520,W 52 St & 5 Ave,40.75992262,-73.97648516,17587,Subscriber,1989,female
1655,2015-09-06 19:00:26 UTC,2015-09-06 19:28:02 UTC,3133,E 67 St & Lexington Ave,40.767342591432168,-73.9648586511612,520,W 52 St & 5 Ave,40.75992262,-73.97648516,23788,Subscriber,1988,male
1121,2016-06-30 09:48:28 UTC,2016-06-30 10:07:10 UTC,3259,9 Ave & W 28 St,40.749370241932773,-73.999233841896057,520,W 52 St & 5 Ave,40.75992262,-73.97648516,25783,Subscriber,1965,male
672,2016-07-01 06:19:03 UTC,2016-07-01 06:30:16 UTC,3259,9 Ave & W 28 St,40.749370241932773,-73.999233841896057,520,W 52 St & 5 Ave,40.75992262,-73.97648516,23332,Subscriber,1961,male
1785,2016-06-27 19:46:11 UTC,2016-06-27 20:15:56 UTC,3259,9 Ave & W 28 St,40.749370241932773,-73.999233841896057,520,W 52 St & 5 Ave,40.75992262,-73.97648516,22621,Subscriber,1993,male
859,2016-08-31 18:18:37 UTC,2016-08-31 18:32:56 UTC,540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,520,W 52 St & 5 Ave,40.75992262,-73.97648516,15403,Subscriber,1985,male
707,2015-09-09 07:50:01 UTC,2015-09-09 08:01:48 UTC,540,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,520,W 52 St & 5 Ave,40.75992262,-73.97648516,24363,Subscriber,1984,male
464,2016-08-16 08:16:49 UTC,2016-08-16 08:24:34 UTC,3231,E 67 St & Park Ave,40.767800801481322,-73.965920805931091,520,W 52 St & 5 Ave,40.75992262,-73.97648516,17433,Subscriber,1957,male
902,2015-12-05 17:48:44 UTC,2015-12-05 18:03:47 UTC,3231,E 67 St & Park Ave,40.767800801481322,-73.965920805931091,520,W 52 St & 5 Ave,40.75992262,-73.97648516,14714,Customer,1998,unknown
401,2016-08-25 08:48:59 UTC,2016-08-25 08:55:40 UTC,3231,E 67 St & Park Ave,40.767800801481322,-73.965920805931091,520,W 52 St & 5 Ave,40.75992262,-73.97648516,23911,Subscriber,1980,male
447,2016-03-22 08:40:50 UTC,2016-03-22 08:48:17 UTC,3231,E 67 St & Park Ave,40.767800801481322,-73.965920805931091,520,W 52 St & 5 Ave,40.75992262,-73.97648516,22354,Subscriber,1957,male
1973,2016-07-20 09:10:35 UTC,2016-07-20 09:43:28 UTC,3016,Kent Ave & N 7 St,40.720367752984551,-73.961650729179382,520,W 52 St & 5 Ave,40.75992262,-73.97648516,19478,Subscriber,1984,male
877,2016-09-13 08:20:39 UTC,2016-09-13 08:35:16 UTC,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,520,W 52 St & 5 Ave,40.75992262,-73.97648516,26888,Subscriber,1972,male
